name:STRING
Michael Sheen
Jack Nicholson
Nathan Lane
Philip Seymour Hoffman
Noah Wyle
Rosie O'Donnell
Greg Kinnear
Susan Sarandon
Takeshi Kitano
Gary Sinise
John Goodman
Christina Ricci
Jay Mohr
Ben Miles
Carrie Fisher
Christopher Guest
Lori Petty
Carrie-Anne Moss
Laurence Fishburne
Zach Grenier
John Hurt
Matthew Fox
Kelly Preston
Brooke Langton
Ian McKellen
Sam Rockwell
Renee Zellweger
J.T. Walsh
Jerry O'Connell
Ethan Hawke
Ice-T
Bonnie Hunt
Richard Harris
Julia Roberts
Danny DeVito
Audrey Tautou
Charlize Theron
Frank Langella
Kevin Pollak
Steve Zahn
Aaron Sorkin
Jonathan Lipnicki
James Cromwell
Bill Pullman
Tom Cruise
Geena Davis
Paul Bettany
Rain
Parker Posey
Max von Sydow
Annabella Sciorra
Bruno Kirby
Kelly McGillis
Wil Wheaton
Halle Berry
Michael Clarke Duncan
Gene Hackman
Demi Moore
Robin Williams
John Cusack
Cuba Gooding Jr.
Victor Garber
Anthony Edwards
River Phoenix
Tom Hanks
Jim Broadbent
Orlando Jones
Val Kilmer
Rita Wilson
Kevin Bacon
David Morse
Rick Yune
Patricia Clarkson
Corey Feldman
Emil Eifrem
Billy Crystal
Meg Ryan
Naomie Harris
Al Pacino
Ed Harris
Marshall Bell
Dave Chappelle
Helen Hunt
John C. Reilly
Liv Tyler
Natalie Portman
Regina King
Tom Skerritt
Kiefer Sutherland
Emile Hirsch
Stephen Rea
Werner Herzog
Oliver Platt
Christian Bale
Hugo Weaving
Madonna
Bill Paxton
Dina Meyer
James Marshall
Clint Eastwood
Diane Keaton
Keanu Reeves
Michael Sheen
Keanu Reeves
